alphas.0	alphas.1	alphau.0	alphau.1	q
1.125118	0.375250	12.356305	0.169473	0.435019
1.125121	0.375249	12.356305	0.169473	0.578075
1.125111	0.375249	12.356305	0.169473	0.511506
1.125106	0.375250	15.426099	0.169473	0.541025
1.125108	0.375251	15.426099	0.169473	0.543445
1.125110	0.375252	13.284032	0.169473	0.551988
1.125107	0.375251	10.671678	0.169473	0.471871
1.125112	0.375252	10.671678	0.169473	0.536716
1.125110	0.375252	10.671678	0.169473	0.503101
1.125110	0.375252	9.768466	0.169473	0.498217
1.125112	0.375252	13.287958	0.169473	0.496316
1.125114	0.375252	13.287958	0.169473	0.506650
1.125107	0.375252	13.287958	0.169473	0.499133
1.125103	0.375252	13.287958	0.169473	0.507708
1.125109	0.375253	12.976417	0.169473	0.513826
1.125114	0.375253	11.305059	0.169473	0.553078
1.125112	0.375253	11.305059	0.169473	0.589522
1.125116	0.375254	11.305059	0.169473	0.504725
1.125102	0.375254	9.917199	0.169473	0.527796
1.125110	0.375255	9.917199	0.169473	0.486298
1.125109	0.375255	9.733780	0.169473	0.472694
1.125109	0.375256	15.791474	0.169473	0.452464
1.125109	0.375255	14.553592	0.169473	0.553602
1.125106	0.375256	13.345061	0.169473	0.487152
1.125106	0.375256	13.345061	0.169473	0.556029
1.125111	0.375256	13.345061	0.169473	0.443269
1.125112	0.375256	12.587518	0.169473	0.565750
1.125114	0.375257	12.015803	0.169473	0.518035
1.125115	0.375257	11.890234	0.169473	0.533256
1.125124	0.375257	11.890234	0.169473	0.491180
1.125115	0.375257	12.970960	0.169473	0.526660
1.125110	0.375257	12.970960	0.169473	0.564466
1.125106	0.375257	10.751917	0.169473	0.517144
1.125111	0.375257	12.484408	0.169473	0.442200
1.125106	0.375255	12.484408	0.169473	0.554284
1.125105	0.375256	12.484408	0.169473	0.512764
1.125106	0.375256	15.913134	0.169473	0.516258
1.125108	0.375257	12.309764	0.169473	0.499459
1.125103	0.375256	15.000307	0.169474	0.574385
1.125097	0.375257	16.927305	0.169474	0.490097
1.125094	0.375256	18.605383	0.169474	0.576955
1.125092	0.375256	13.291979	0.169474	0.554472
1.125093	0.375256	13.677488	0.169474	0.448600
1.125093	0.375257	11.284725	0.169473	0.480899
1.125093	0.375258	13.596772	0.169473	0.473158
